"PointID","x","y","z","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
200, 8.457110951526885e-01, 0.000000000000000e+00, 7.590438727932939e-03, 8.220616066410803e-01, 1.993894361120940e-03, -2.633684945691088e-02, -8.199479956937060e-01
201, 8.457529734835214e-01, 0.000000000000000e+00, 8.718324792227703e-03, 7.212975340007469e-01, 2.037174455786465e-03, -2.628368823107793e-01, -7.470197111918861e-01
202, 8.459734278238783e-01, 0.000000000000000e+00, 9.825445662674572e-03, 5.075300334256382e-01, 2.023849731692784e-03, -4.095109441727481e-01, -5.984564266476807e-01
203, 8.463542823115556e-01, 0.000000000000000e+00, 1.088826605797695e-02, 2.601584026217763e-01, 1.954625252740131e-03, -4.457765719358390e-01, -4.169354742526662e-01
204, 8.468758755367364e-01, 0.000000000000000e+00, 1.188977615935446e-02, 4.286144560132375e-02, 1.846829353283895e-03, -3.932204508598830e-01, -2.387973502822888e-01
205, 8.475126124609750e-01, 0.000000000000000e+00, 1.282251802049352e-02, -1.282762172565789e-01, 1.704356176698921e-03, -2.875196080002486e-01, -7.330107052949010e-02
206, 8.482490137865812e-01, 0.000000000000000e+00, 1.367881787490093e-02, -2.521244594833998e-01, 1.523398737611991e-03, -1.529969353799524e-01, 7.644433699931442e-02
207, 8.490717821415037e-01, 0.000000000000000e+00, 1.445260024775777e-02, -3.223833756676895e-01, 1.321371358917334e-03, -8.443130712002657e-03, 2.024830187501868e-01
208, 8.499673637238891e-01, 0.000000000000000e+00, 1.514089069889417e-02, -3.442379275392044e-01, 1.104272427303124e-03, 1.304019666715135e-01, 3.037534487530009e-01
209, 8.509234795464664e-01, 0.000000000000000e+00, 1.574237269977158e-02, -3.291651767098965e-01, 8.799056626994545e-04, 2.494639511429573e-01, 3.798256484413494e-01
210, 8.519276739169526e-01, 0.000000000000000e+00, 1.625976304103756e-02, -2.909713162231308e-01, 6.621790001379623e-04, 3.408125792041825e-01, 4.319496682670204e-01
211, 8.529688327503029e-01, 0.000000000000000e+00, 1.669819578521903e-02, -2.436001695770794e-01, 4.612072827002287e-04, 4.050236342283031e-01, 4.652023801789615e-01
212, 8.540379162560257e-01, 0.000000000000000e+00, 1.706344023924345e-02, -1.961260631049877e-01, 2.879315024439978e-04, 4.474082700386939e-01, 4.852730557268057e-01
213, 8.551277429705614e-01, 0.000000000000000e+00, 1.736128268672859e-02, -1.506566301057120e-01, -7.339388543238588e+00, 4.662339283632488e-01, 4.886434308142293e-01
214, 8.562325006706398e-01, 0.000000000000000e+00, 1.759797214025395e-02, -1.098559755414841e-01, -4.425252370712265e+01, 4.655466357300109e-01, 4.778425248332435e-01
215, 8.573475872521269e-01, 0.000000000000000e+00, 1.778007200593330e-02, -7.430022376547847e-02, -7.418424433280031e+00, 4.432095504613893e-01, 4.492424311134294e-01
216, 8.584695633175710e-01, 0.000000000000000e+00, 1.791344935537453e-02, -4.474708891121607e-02, 2.112816883294407e+00, 4.088472651246815e-01, 4.112655203091425e-01
217, 8.595959748780021e-01, 0.000000000000000e+00, 1.800202564792250e-02, -2.056003990432011e-02, 1.254378258890761e+01, 3.650753244893906e-01, 3.656508785847242e-01
218, 8.607248768252777e-01, 0.000000000000000e+00, 1.804952188323098e-02, -1.321030917172842e-03, 2.069006558012946e+00, 3.115022306636306e-01, 3.114343992740614e-01
219, 8.618547419873498e-01, 0.000000000000000e+00, 1.805971934818592e-02, 1.170307700516148e-02, 1.324806482448752e-04, 2.640758505207284e-01, 2.641394218293391e-01
220, 8.629844213860669e-01, 0.000000000000000e+00, 1.803638625116048e-02, 2.008671837958682e-02, 2.000632126169562e-04, 2.254507976949763e-01, 2.260029321534691e-01
221, 8.641130851447324e-01, 0.000000000000000e+00, 1.798297608322455e-02, 2.538542346846367e-02, 2.730464970336101e-04, 1.956112707102713e-01, 1.967764402835856e-01
222, 8.652400901862312e-01, 0.000000000000000e+00, 1.790172078103752e-02, 2.870285735216706e-02, 3.491865794193978e-04, 1.708354609440177e-01, 1.726340727487067e-01
