"PointID","x","y","z","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
200, 8.457110951526885e-01, 0.000000000000000e+00, 7.590438727932939e-03, -3.847396452455698e-01, -4.418332210992181e-05, 2.584213082844917e-01, 3.723080961003590e-01
201, 8.457529734835214e-01, 0.000000000000000e+00, 8.718324792227703e-03, -4.644693580415934e-01, -5.224453272070056e-05, 3.729197509864834e-01, 5.047754120136333e-01
202, 8.459734278238783e-01, 0.000000000000000e+00, 9.825445662674572e-03, -4.904198462506521e-01, 6.397819780366283e-05, 5.040373634721076e-01, 6.072104097656115e-01
203, 8.463542823115556e-01, 0.000000000000000e+00, 1.088826605797695e-02, -4.545768109553749e-01, 3.032299559341156e-04, 6.185554248684321e-01, 6.642835592317683e-01
204, 8.468758755367364e-01, 0.000000000000000e+00, 1.188977615935446e-02, -3.681124538925000e-01, 6.421886401839444e-04, 6.900129729856377e-01, 6.703225028430209e-01
205, 8.475126124609750e-01, 0.000000000000000e+00, 1.282251802049352e-02, -2.683758451055354e-01, 1.058817362413158e-03, 7.365454242743992e-01, 6.613503662603654e-01
206, 8.482490137865812e-01, 0.000000000000000e+00, 1.367881787490093e-02, -1.487689892297026e-01, 1.532270413830728e-03, 7.414786481084461e-01, 6.200280654584012e-01
207, 8.490717821415037e-01, 0.000000000000000e+00, 1.445260024775777e-02, -3.514700464537957e-02, 2.048756276188803e-03, 7.317152819583221e-01, 5.800626975274824e-01
208, 8.499673637238891e-01, 0.000000000000000e+00, 1.514089069889417e-02, 7.885116637497247e-02, 2.560960580508469e-03, 6.757617810276310e-01, 5.094391233487598e-01
209, 8.509234795464664e-01, 0.000000000000000e+00, 1.574237269977158e-02, 1.789397372693115e-01, 3.070857268008301e-03, 5.897696733806143e-01, 4.235093102196335e-01
210, 8.519276739169526e-01, 0.000000000000000e+00, 1.625976304103756e-02, 2.465194192557826e-01, 3.512328936951949e-03, 4.784847642333540e-01, 3.291188946780698e-01
211, 8.529688327503029e-01, 0.000000000000000e+00, 1.669819578521903e-02, 2.870877543042859e-01, 3.921447149292732e-03, 3.390010833486437e-01, 2.146266150421059e-01
212, 8.540379162560257e-01, 0.000000000000000e+00, 1.706344023924345e-02, 2.795209381623812e-01, 4.239718717664548e-03, 2.216234499038346e-01, 1.297876858688309e-01
213, 8.551277429705614e-01, 0.000000000000000e+00, 1.736128268672859e-02, 2.442314941367990e-01, 4.517498564838652e-03, 1.118959335529840e-01, 5.092013069051535e-02
214, 8.562325006706398e-01, 0.000000000000000e+00, 1.759797214025395e-02, 1.877608445753706e-01, 4.732888619142257e-03, 3.696532062527054e-02, 1.516164348463194e-03
215, 8.573475872521269e-01, 0.000000000000000e+00, 1.778007200593330e-02, 1.331304617215894e-01, 4.908347705510127e-03, -1.269222902255285e-02, -3.115837647857669e-02
216, 8.584695633175710e-01, 0.000000000000000e+00, 1.791344935537453e-02, 8.854981739092228e-02, -1.094724510968820e+01, -3.793783084844665e-02, -4.645339031388146e-02
217, 8.595959748780021e-01, 0.000000000000000e+00, 1.800202564792250e-02, 5.731399141823559e-02, -6.420278946948243e+01, -4.904431324134140e-02, -5.240700710550623e-02
218, 8.607248768252777e-01, 0.000000000000000e+00, 1.804952188323098e-02, 3.724646435629537e-02, -1.044764322961814e+01, -4.896697841931932e-02, -4.990205668261209e-02
219, 8.618547419873498e-01, 0.000000000000000e+00, 1.805971934818592e-02, 2.621421241819797e-02, 5.299328879311492e-03, -4.319342036859963e-02, -4.304029943559867e-02
220, 8.629844213860669e-01, 0.000000000000000e+00, 1.803638625116048e-02, 2.259504610839471e-02, 5.324850255449360e-03, -2.960303791380273e-02, -2.881857576687315e-02
221, 8.641130851447324e-01, 0.000000000000000e+00, 1.798297608322455e-02, 2.277616574447332e-02, 5.326776769962312e-03, -2.363368613325953e-02, -2.223433985972650e-02
222, 8.652400901862312e-01, 0.000000000000000e+00, 1.790172078103752e-02, 2.641546575298992e-02, 5.317736618510500e-03, -1.408667083668985e-02, -1.183462488288402e-02
223, 8.663649278158133e-01, 0.000000000000000e+00, 1.779452241139445e-02, 3.349671596632404e-02, 5.290770829558652e-03, -3.100816350407344e-03, 4.509043193218509e-04
224, 8.674872179203288e-01, 0.000000000000000e+00, 1.766328373567019e-02, 4.181226384910460e-02, 5.254938014747917e-03, -2.063331494902195e-03, 3.222188520506459e-03
225, 8.686066787316091e-01, 0.000000000000000e+00, 1.750975269969390e-02, 5.184732746743825e-02, 5.208812712106031e-03, -4.423419615007064e-04, 7.085887797627211e-03
226, 8.697230829960645e-01, 0.000000000000000e+00, 1.733536731944984e-02, 6.272305169809361e-02, 5.159569178471783e-03, -7.053239354034592e-03, 3.261748904699613e-03
227, 8.708362748425451e-01, 0.000000000000000e+00, 1.714151846962567e-02, 7.375054050938136e-02, 5.106245526532997e-03, -1.713715478128583e-02, -3.615547660888098e-03
228, 8.719461670038828e-01, 0.000000000000000e+00, 1.692958228308352e-02, 8.436188014026783e-02, 5.054669151358157e-03, -3.250441676859771e-02, -1.542836455962070e-02
229, 8.730527138223039e-01, 0.000000000000000e+00, 1.670081457380037e-02, 9.406215180251440e-02, 5.004348177264489e-03, -5.108615389671740e-02, -3.024548769631579e-02
230, 8.741558502578363e-01, 0.000000000000000e+00, 1.645612554752295e-02, 1.024069764545819e-01, 4.955945664186065e-03, -7.154403879086325e-02, -4.687856935479442e-02
231, 8.752555334036892e-01, 0.000000000000000e+00, 1.619635331630756e-02, 1.087294322538064e-01, 4.906540516908563e-03, -9.313713725061822e-02, -6.481882497201978e-02
232, 8.763517534060499e-01, 0.000000000000000e+00, 1.592233053117429e-02, 1.127528869470008e-01, 4.854795459494265e-03, -1.139514296795085e-01, -8.236416698464617e-02
233, 8.774445296195854e-01, 0.000000000000000e+00, 1.563487837875849e-02, 1.140877093045723e-01, 4.798937475847928e-03, -1.334517972450351e-01, -9.919563086608085e-02
234, 8.785338818964111e-01, 0.000000000000000e+00, 1.533470920092809e-02, 1.126277778645256e-01, 4.738888799912599e-03, -1.507729734231607e-01, -1.146069557502401e-01
235, 8.796198242461992e-01, 0.000000000000000e+00, 1.502242694058535e-02, 1.085369289711244e-01, 4.675292644176249e-03, -1.650803757201965e-01, -1.278564618105983e-01
236, 8.807023882684749e-01, 0.000000000000000e+00, 1.469862542008050e-02, 1.020098485634233e-01, 4.609935655005713e-03, -1.763543432225468e-01, -1.389746682054443e-01
237, 8.817816228054031e-01, 0.000000000000000e+00, 1.436389238847078e-02, 9.348896379631633e-02, 4.544920776050609e-03, -1.843913565737861e-01, -1.477268317084948e-01
238, 8.828575922261637e-01, 0.000000000000000e+00, 1.401880291505121e-02, 8.351308948709718e-02, 4.482243154925178e-03, -1.891929056634933e-01, -1.540138608289011e-01
239, 8.839303296884424e-01, 0.000000000000000e+00, 1.366380050832879e-02, 7.263553776738892e-02, 4.423450713701479e-03, -1.908632587701720e-01, -1.577994909568266e-01
240, 8.849998443626320e-01, 0.000000000000000e+00, 1.329919964735437e-02, 6.139071985910109e-02, 4.369575201152872e-03, -1.896019899753174e-01, -1.591313686253226e-01
241, 8.860661473923093e-01, 0.000000000000000e+00, 1.292530961183311e-02, 5.024518451242012e-02, 4.321229221181920e-03, -1.858131325990089e-01, -1.582598269643971e-01
242, 8.871292585930118e-01, 0.000000000000000e+00, 1.254243763277122e-02, 3.962137825197715e-02, 4.278588867522261e-03, -1.798764154650300e-01, -1.554077604350663e-01
243, 8.881892050324608e-01, 0.000000000000000e+00, 1.215088895927262e-02, 2.983912748472422e-02, 4.241428615491621e-03, -1.722400883596394e-01, -1.508809314402438e-01
244, 8.892460207093015e-01, 0.000000000000000e+00, 1.175096661055796e-02, 2.112118872934295e-02, 4.209235805876542e-03, -1.633530026388912e-01, -1.450064636469979e-01
245, 8.902997462109004e-01, 0.000000000000000e+00, 1.134297117858849e-02, 1.360117979477492e-02, 4.181307246584260e-03, -1.536287606564089e-01, -1.381008670074202e-01
246, 8.913504283729995e-01, 0.000000000000000e+00, 1.092720067252844e-02, 7.324223779620677e-03, 4.156832677324750e-03, -1.434497177790086e-01, -1.304776831499853e-01
247, 8.923981199824519e-01, 0.000000000000000e+00, 1.050395038705030e-02, 2.263783963176206e-03, 4.134972952995559e-03, -1.331488797010966e-01, -1.224281246830164e-01
248, 8.934428794699543e-01, 0.000000000000000e+00, 1.007351281304408e-02, -1.662156744045867e-03, 4.114909807273305e-03, -1.230137589459743e-01, -1.142215174277391e-01
249, 8.944847698058108e-01, 0.000000000000000e+00, 9.636175671902055e-03, -4.562598301108263e-03, 4.095834559700053e-03, -1.132472868802268e-01, -1.060594317096342e-01
250, 8.955238334838473e-01, 0.000000000000000e+00, 9.192164278050283e-03, -6.544876277260034e-03, 4.076942298006034e-03, -1.039360098342360e-01, -9.803745092232642e-02
251, 8.965600845586584e-01, 0.000000000000000e+00, 8.741633331781929e-03, -7.708029682468655e-03, 4.057544169455588e-03, -9.510064409883674e-02, -9.019227681049438e-02
252, 8.975935464518370e-01, 0.000000000000000e+00, 8.284729095062835e-03, -8.182449709185682e-03, 4.037106912941922e-03, -8.681631022216306e-02, -8.262734353244100e-02
253, 8.986242325149316e-01, 0.000000000000000e+00, 7.821602570853875e-03, -8.104941258064900e-03, 4.015234079262306e-03, -7.915044128501825e-02, -7.544451835931634e-02
