"PointID","x","y","z","Sensitivity_x","Sensitivity_y","Sensitivity_z","Surface_Sensitivity"
200, 8.457110951526885e-01, 0.000000000000000e+00, 7.590438727932939e-03, -2.713572199950624e-01, -9.764455537717855e-04, -9.426384256758147e-02, 2.754465988977915e-01
201, 8.457529734835214e-01, 0.000000000000000e+00, 8.718324792227703e-03, -7.019542474509000e-01, -2.580042728316484e-03, 1.125775323877400e-02, 6.984806785938509e-01
202, 8.459734278238783e-01, 0.000000000000000e+00, 9.825445662674572e-03, -9.404068043695401e-01, -3.822460173578852e-03, 2.083352199863529e-01, 9.618899315393529e-01
203, 8.463542823115556e-01, 0.000000000000000e+00, 1.088826605797695e-02, -9.745475296103709e-01, -4.633429446679127e-03, 3.966527485464426e-01, 1.051832431265413e+00
204, 8.468758755367364e-01, 0.000000000000000e+00, 1.188977615935446e-02, -8.711370659619876e-01, -5.031182763982619e-03, 5.184606453770637e-01, 1.013742369038275e+00
205, 8.475126124609750e-01, 0.000000000000000e+00, 1.282251802049352e-02, -7.231485118336718e-01, -5.095384732399622e-03, 5.782392149528227e-01, 9.257243452740175e-01
206, 8.482490137865812e-01, 0.000000000000000e+00, 1.367881787490093e-02, -5.675123370057193e-01, -4.904650246306175e-03, 5.884430695055695e-01, 8.168529285570634e-01
207, 8.490717821415037e-01, 0.000000000000000e+00, 1.445260024775777e-02, -4.099127039399109e-01, -4.512778461905269e-03, 5.492780016952392e-01, 6.839741067637519e-01
208, 8.499673637238891e-01, 0.000000000000000e+00, 1.514089069889417e-02, -2.666509443956496e-01, -3.975334277619746e-03, 4.711432522080570e-01, 5.390089011104913e-01
209, 8.509234795464664e-01, 0.000000000000000e+00, 1.574237269977158e-02, -1.494153863469127e-01, -3.351534001117090e-03, 3.689453241896390e-01, 3.944917527864289e-01
210, 8.519276739169526e-01, 0.000000000000000e+00, 1.625976304103756e-02, -6.451540833849995e-02, -2.700028052965606e-03, 2.619945749413893e-01, 2.646698281528591e-01
211, 8.529688327503029e-01, 0.000000000000000e+00, 1.669819578521903e-02, -1.096244168940782e-02, -2.061238179174498e-03, 1.686804849093986e-01, 1.615370518178032e-01
212, 8.540379162560257e-01, 0.000000000000000e+00, 1.706344023924345e-02, 2.104385872063999e-02, -1.456767882814436e-03, 8.683987503938811e-02, 7.683407066076910e-02
213, 8.551277429705614e-01, 0.000000000000000e+00, 1.736128268672859e-02, 3.614390812609906e-02, -9.004561968418538e-04, 2.534549280394402e-02, 1.607209549216380e-02
214, 8.562325006706398e-01, 0.000000000000000e+00, 1.759797214025395e-02, 3.943715466005335e-02, -4.012499387706778e-04, -1.486668151014265e-02, -2.192010546459889e-02
215, 8.573475872521269e-01, 0.000000000000000e+00, 1.778007200593330e-02, 3.859627871925751e-02, 3.979389992801009e-05, -4.647774776921170e-02, -5.141199886878694e-02
216, 8.584695633175710e-01, 0.000000000000000e+00, 1.791344935537453e-02, 3.501849598620305e-02, -1.094390754179637e-01, -6.821659943598024e-02, -7.132681587901524e-02
217, 8.595959748780021e-01, 0.000000000000000e+00, 1.800202564792250e-02, 3.011805609218984e-02, -6.378670552056965e-01, -8.281979666260879e-02, -8.448331632640541e-02
218, 8.607248768252777e-01, 0.000000000000000e+00, 1.804952188323098e-02, 2.448187141860354e-02, -1.019347741983704e-01, -9.085627500450719e-02, -9.145176720152935e-02
219, 8.618547419873498e-01, 0.000000000000000e+00, 1.805971934818592e-02, 1.892180810869062e-02, 1.382545953619836e-03, -9.473446596357939e-02, -9.462286705549726e-02
220, 8.629844213860669e-01, 0.000000000000000e+00, 1.803638625116048e-02, 1.391497429309987e-02, 1.627703471698513e-03, -9.547643718300546e-02, -9.494877016784881e-02
221, 8.641130851447324e-01, 0.000000000000000e+00, 1.798297608322455e-02, 9.617346294060674e-03, 1.845603158551430e-03, -9.551732098198311e-02, -9.477440954035944e-02
222, 8.652400901862312e-01, 0.000000000000000e+00, 1.790172078103752e-02, 5.669225462519991e-03, 2.042840387483685e-03, -9.709782970718769e-02, -9.628678201940329e-02
223, 8.663649278158133e-01, 0.000000000000000e+00, 1.779452241139445e-02, 2.858261671071607e-03, 2.221623024201554e-03, -9.195221692570354e-02, -9.113732175757484e-02
